Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
54562,6,16/02/2018 01:45:30,5407311,5,3,935,316,935,0,187,418.1447118,316,0,105.3333333,182.4426851,231.3534398,1.479478432,772473,2016592.618,5345499,4,5407311,1351827.75,2662529.363,5345503,26,13141,6570.5,8050.410704,12263,878,0,0,0,0,168,104,0.92467402,0.554804412,0,935,139,316.2657111,100024,0,0,0,0,1,0,0,0,0,156.375,187,105.3333333,0,0,0,0,0,0,5,935,3,316,237,211,1,32,0,0,0,0,5345499,0,5345499,5345499,Benign
80,6,16/02/2018 01:45:39,906,2,0,0,0,0,0,0,0,0,0,0,0,0,2207.505519,906,0,906,906,906,906,0,906,906,0,0,0,0,0,0,0,0,0,64,0,2207.505519,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
53,17,14/02/2018 02:30:31,982,1,1,41,102,41,41,41.0,0.0,102,102,102.0,0.0,145621.181262729,2036.6598778004,982.0,0.0,982,982,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1018.3299389002,1018.3299389002,41,102,61.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,92.0,41.0,102.0,0,0,0,0,0,0,1,41,1,102,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:44:00,38841,1,1,45,73,45,45,45.0,0.0,73,73,73.0,0.0,3038.0268273217,51.4919801241,38841.0,0.0,38841,38841,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,25.745990062,25.745990062,45,73,54.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,81.5,45.0,73.0,0,0,0,0,0,0,1,45,1,73,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53030,6,16/02/2018 01:45:36,5374614,5,3,935,350,935,0,187,418.1447118,350,0,116.6666667,202.0725942,239.0869372,1.488478987,767802,2007828.558,5321006,6,5374614,1343653.5,2651629.128,5321012,44,12164,6082,644.8813844,6538,5626,0,0,0,0,168,104,0.930299367,0.55817962,0,935,142.7777778,318.8368618,101656.9444,0,0,0,0,1,0,0,0,0,160.625,187,116.6666667,0,0,0,0,0,0,5,935,3,350,219,211,1,32,0,0,0,0,5321006,0,5321006,5321006,Benign
59362,6,16/02/2018 01:47:12,4265215,5,3,935,312,935,0,187,418.1447118,312,0,104,180.133284,292.3650977,1.875638157,609316.4286,1581381.481,4195081,5,4265215,1066303.75,2086107.625,4195086,23,69298,34649,48616.41963,69026,272,0,0,0,0,168,104,1.172273848,0.703364309,0,935,138.5555556,315.9885722,99848.77778,0,0,0,0,1,0,0,0,0,155.875,187,104,0,0,0,0,0,0,5,935,3,312,219,211,1,32,0,0,0,0,0,0,0,0,Benign
22,6,14/02/2018 02:58:38,7,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285714.285714286,7.0,0.0,7,7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,142857.142857143,142857.142857143,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
22,6,14/02/2018 03:08:45,6,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.333333333,6.0,0.0,6,6,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,166666.666666667,166666.666666667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Bruteforce
53,17,15/02/2018 01:53:42,267,1,1,35,51,35,35,35.0,0.0,51,51,51.0,0.0,322097.378277154,7490.6367041199,267.0,0.0,267,267,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3745.3183520599,3745.3183520599,35,51,40.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,60.5,35.0,51.0,0,0,0,0,0,0,1,35,1,51,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
55862,6,16/02/2018 01:46:36,4225850,5,3,935,307,935,0,187,418.1447118,307,0,102.3333333,177.2465326,293.9053682,1.893110262,603692.8571,1556266.691,4132483,8,4225850,1056462.5,2050899.699,4132491,21,70988,35494,49766.17526,70684,304,0,0,0,0,168,104,1.183193914,0.709916348,0,935,138,315.6497268,99634.75,0,0,0,0,1,0,0,0,0,155.25,187,102.3333333,0,0,0,0,0,0,5,935,3,307,219,211,1,32,0,0,0,0,0,0,0,0,Benign
